Keywords,Date and Time,Source,Event ID,Task Category
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\9990
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\9990
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\9990
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\8995
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\8995
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\8995
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\8942
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\8942
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\8942
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\8755
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\8755
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\8755
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\7199
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\7199
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:27,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\7199
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:26,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\6600
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:26,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\6600
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:26,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\6600
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:26,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\3805
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:26,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\3805
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
Audit Success,13-6-2023 15:24:26,Microsoft-Windows-Security-Auditing,4663,File System,"An attempt was made to access an object.

Subject:
	Security ID:		DESKTOP-RSW-USR\kees
	Account Name:		kees
	Account Domain:		DESKTOP-RSW-USR
	Logon ID:		0x9824A

Object:
	Object Server:		Security
	Object Type:		File
	Object Name:		C:\Users\kees\Documents\3805
	Handle ID:		0x89c
	Resource Attributes:	S:AI

Process Information:
	Process ID:		0x510
	Process Name:		C:\Program Files (x86)\2BrightSparks\SyncBackFree\SyncBackFree.exe

Access Request Information:
	Accesses:		WriteAttributes
				
	Access Mask:		0x100"
